host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
13660,Simon,100%,1.0,1.0
1716726,Jesús,100%,5.0,5.0
83531,Abdel,Desconocido,2.0,2.0
1713427,Helena,100%,1.0,1.0
82175,Jesus,100%,9.0,9.0
6365055,Ana & Ricardo,100%,13.0,13.0
1714866,Francisco,Desconocido,1.0,1.0
346366726,Alvaro,Desconocido,1.0,1.0
114340,Agustina,91%,1.0,1.0
1721158,Pau&Patricia,100%,1.0,1.0
1722284,Cesar,100%,2.0,2.0
1694537,Miguel Angel & Iaia,67%,1.0,1.0
132883,Angela,Desconocido,1.0,1.0
1703448,Elena,100%,2.0,2.0
34217435,Luis,96%,12.0,12.0
1738288,Jose Angel,100%,3.0,3.0
218515,Sergio,100%,1.0,1.0
1738846,Carlos,100%,1.0,1.0
303845,Arturo,100%,2.0,2.0
1751133,The Punset Family,90%,2.0,2.0
353616,Diana,90%,3.0,3.0
353738,Raquel,100%,4.0,4.0
1496188,Juanpe,Desconocido,2.0,2.0
391014,Juan,100%,1.0,1.0
1729503,Ana,100%,3.0,3.0
448981,Mercedes,Desconocido,1.0,1.0
259229,Felipe,Desconocido,1.0,1.0
364585,Vin,100%,5.0,5.0
1836617,Bibiana,100%,1.0,1.0
487095,Beatriz,100%,1.0,1.0
1871034,Olga,100%,1.0,1.0
495849,Raul,100%,1.0,1.0
1888816,Margarita,100%,4.0,4.0
1892467,Laura,92%,3.0,3.0
499977,Charo,100%,3.0,3.0
1981346,Daniel,Desconocido,1.0,1.0
527760,Diana,Desconocido,1.0,1.0
533936,Carlos Alberto,100%,1.0,1.0
1408525,Mad4Rent,95%,49.0,49.0
534515,Guillermo,Desconocido,1.0,1.0
2150362,Nuria,100%,2.0,2.0
361930,Maria,100%,6.0,6.0
605612,Ulises,100%,5.0,5.0
2024487,Fernando,100%,1.0,1.0
650803,Jose Luis,100%,1.0,1.0
2044655,Sylvia,100%,8.0,8.0
666482,Cinthia,100%,1.0,1.0
723539,Eloisa,100%,13.0,13.0
2068619,Alfonso,100%,1.0,1.0
9934732,Fernando Javier,100%,3.0,3.0
739627,Isabel,100%,1.0,1.0
2106353,Reyes,100%,0.0,0.0
780107,Sonia,100%,2.0,2.0
2134007,Lola,100%,2.0,2.0
796746,Consuelo,86%,3.0,3.0
814490,Rafael,0%,3.0,3.0
596469,Gabriel Avalos,100%,32.0,32.0
852616,Meyling,100%,4.0,4.0
2157770,Gonzalo,Desconocido,0.0,0.0
749212,Henrietta,100%,1.0,1.0
2184106,Pedro,100%,0.0,0.0
2230279,Marina,100%,1.0,1.0
75944,Maite,Desconocido,3.0,3.0
1004721,Alex,90%,1.0,1.0
2240898,Alejandro,90%,1.0,1.0
617086,Agata,Desconocido,1.0,1.0
1008659,Nuria,100%,2.0,2.0
1014005,Sara,100%,0.0,0.0
2290984,Artur,Desconocido,0.0,0.0
1031664,José,100%,1.0,1.0
2296476,Jose Manuel,100%,1.0,1.0
1090760,Jon,100%,1.0,1.0
1732442,Anouk,100%,3.0,3.0
2302267,Carmen,Desconocido,1.0,1.0
2322563,Julio And Sarah,100%,3.0,3.0
1174648,Rebeca,100%,2.0,2.0
1172225,Eva,Desconocido,1.0,1.0
1130651,Sergio,96%,11.0,11.0
2332600,Rodrigo,100%,6.0,6.0
1212528,Silvia,0%,1.0,1.0
630482,Raquel,80%,2.0,2.0
2346162,Carlos,75%,0.0,0.0
2376402,Jesús,100%,0.0,0.0
1367452,Javier,100%,1.0,1.0
2427722,Ignacio,100%,2.0,2.0
1351865,Angela Y Jaime,100%,4.0,4.0
1373873,Al,100%,1.0,1.0
2456671,José & María,100%,4.0,4.0
2467212,Joël,100%,1.0,1.0
2480913,Elvira,100%,1.0,1.0
1406073,Jose Antonio,88%,1.0,1.0
1932547,Nieves,100%,1.0,1.0
1425071,Enrique,100%,6.0,6.0
2501740,Moises&Cristina + Little Sophie&Eli,100%,4.0,4.0
1466005,Pe,100%,1.0,1.0
2517520,Ruben,90%,1.0,1.0
901218,Myrko,100%,36.0,36.0
2536524,Marina,100%,5.0,5.0
1522694,Isdel Pablo,100%,3.0,3.0
1150912,Andrew,Desconocido,1.0,1.0
2563986,Elena,100%,4.0,4.0
2564339,Alfonso & Guillermo,100%,24.0,24.0
4677030,Jaime,100%,6.0,6.0
1652272,Xuan,86%,1.0,1.0
1596220,Paloma,100%,1.0,1.0
2576044,Angel,100%,1.0,1.0
2249249,David,Desconocido,1.0,1.0
1134989,Óscar,100%,5.0,5.0
2613319,David,100%,1.0,1.0
447969,Javier,Desconocido,1.0,1.0
2638528,Miguel,100%,2.0,2.0
2779192,Wanda,100%,1.0,1.0
2659070,Ana,96%,2.0,2.0
2785251,Susana,100%,2.0,2.0
2661721,Tony,Desconocido,1.0,1.0
2795931,Pilar,100%,1.0,1.0
1284868,Rocio,100%,2.0,2.0
2680319,Paula,Desconocido,2.0,2.0
2347489,Jeanet,70%,4.0,4.0
2673517,Sylvia,100%,1.0,1.0
1689652,Alfredo,Desconocido,1.0,1.0
2713304,Belén,100%,1.0,1.0
2312712,Pilar,100%,1.0,1.0
3951702,Juan Antonio,100%,1.0,1.0
2847013,Santiago,100%,5.0,5.0
3898452,Consuelo,100%,2.0,2.0
216570,Miguel,90%,2.0,2.0
2902269,Ane,Desconocido,1.0,1.0
2267893,Ana,100%,1.0,1.0
3438657,Áureo,Desconocido,2.0,2.0
2913511,Amparo,100%,2.0,2.0
3960415,Cristina,Desconocido,1.0,1.0
3961468,Domingo,100%,1.0,1.0
2940355,Teresa,Desconocido,1.0,1.0
2678039,Miguel,100%,1.0,1.0
3983613,Raul,100%,6.0,6.0
4008643,Antonio : Smart Apartments Madrid,100%,4.0,4.0
1567773,Lara,50%,1.0,1.0
4012305,Compostela,100%,1.0,1.0
4012290,Alberto,100%,2.0,2.0
2214378,Noemí,80%,1.0,1.0
4032439,Maria,90%,1.0,1.0
2990747,Raúl,Desconocido,1.0,1.0
4036376,Ana,79%,3.0,3.0
4053105,Begoña,100%,1.0,1.0
2993477,Clara,100%,3.0,3.0
3606346,José,100%,4.0,4.0
124972,Luisa,100%,6.0,6.0
2783896,Ivaylo,100%,3.0,3.0
3010452,Aurora,Desconocido,1.0,1.0
4112877,Susa,100%,2.0,2.0
4068975,Alvaro,Desconocido,1.0,1.0
3017315,Cristina,100%,5.0,5.0
2057313,Abdul,93%,0.0,0.0
2174652,María,Desconocido,1.0,1.0
3053021,Sonia,Desconocido,1.0,1.0
4118311,Esther,100%,1.0,1.0
2773350,Ainhoa,Desconocido,1.0,1.0
3121587,Pullover,92%,4.0,4.0
4132185,Pilar,100%,2.0,2.0
23603298,HeimaHomes,100%,21.0,21.0
3141727,Esther,100%,0.0,0.0
4181071,Jorge,Desconocido,1.0,1.0
4192385,Renata,100%,0.0,0.0
3290138,Juan Jesus,Desconocido,2.0,2.0
4198169,Willem,100%,1.0,1.0
3226403,Lili,100%,3.0,3.0
4235741,Carlos,0%,3.0,3.0
4277536,Andrea Y Daniel,100%,0.0,0.0
4159117,Raquel,Desconocido,1.0,1.0
3329487,Nicolás,Desconocido,2.0,2.0
3352121,Fran&Joni,Desconocido,1.0,1.0
3385307,Iguacel,0%,2.0,2.0
4280501,Mariano,100%,2.0,2.0
3317937,Félix,100%,2.0,2.0
4281126,Carmen,100%,4.0,4.0
9228673,Home At Homes,97%,64.0,64.0
3487329,KMitocondria,Desconocido,1.0,1.0
4286142,Ricardo,100%,3.0,3.0
1941314,Xavier,100%,2.0,2.0
3494012,Farah Maria,100%,5.0,5.0
4292037,Miguel,100%,5.0,5.0
4295642,Luisa,100%,2.0,2.0
3357259,Mercedes,Desconocido,1.0,1.0
4305310,Begoña,90%,3.0,3.0
655088,Elsa,100%,3.0,3.0
4356259,Rocío,100%,1.0,1.0
3540348,Román,100%,7.0,7.0
4365768,Vicente,100%,1.0,1.0
3021792,Jose,100%,1.0,1.0
3571619,Fernando,Desconocido,1.0,1.0
4190662,Victoria,100%,1.0,1.0
3648882,Luz,100%,1.0,1.0
153391,Fernando,100%,1.0,1.0
4279976,María,Desconocido,1.0,1.0
3654886,Sara,100%,3.0,3.0
2747005,Maribel,100%,3.0,3.0
4396676,Vale,100%,3.0,3.0
4410687,Luis Manuel,100%,1.0,1.0
3691303,Paloma,100%,1.0,1.0
2489796,Ernesto,100%,1.0,1.0
4424222,Francisco,88%,5.0,5.0
3698406,Arman,100%,1.0,1.0
4424070,Fermín,Desconocido,1.0,1.0
1954334,Mike,100%,1.0,1.0
4247556,Julio,100%,1.0,1.0
4522970,José,100%,1.0,1.0
3631892,Juan Carlos,100%,1.0,1.0
2419618,Luis,100%,9.0,9.0
3724500,Lucrecia,100%,0.0,0.0
4582755,Miriam,Desconocido,3.0,3.0
4504807,Nicasio,100%,1.0,1.0
2555202,Norah,100%,1.0,1.0
4603165,Prado,100%,1.0,1.0
4617027,Rosa,100%,1.0,1.0
4677458,Miguel,Desconocido,0.0,0.0
3746437,Nuria,100%,21.0,21.0
498646,Irma,100%,12.0,12.0
4684397,Alex,100%,1.0,1.0
4697070,Hortensia,100%,1.0,1.0
1566057,Angel L.,100%,1.0,1.0
4710774,María,100%,13.0,13.0
3797913,Rocio,100%,10.0,10.0
4739098,Inma,Desconocido,1.0,1.0
3821608,Charo,100%,0.0,0.0
3825783,Elisa,Desconocido,0.0,0.0
4735460,Carmen,100%,18.0,18.0
3771869,Alix,100%,3.0,3.0
3591751,Fernando,100%,2.0,2.0
1625657,Matias,100%,4.0,4.0
4777959,Verónica,100%,4.0,4.0
1331093,Hector Miguel,88%,2.0,2.0
4831338,Angel,100%,2.0,2.0
4209735,Enrique,33%,1.0,1.0
4839888,Alicia,98%,23.0,23.0
2883346,Gregorio,100%,0.0,0.0
5542111,Apartamentos Gran Via,100%,51.0,51.0
4860266,Teresa,100%,1.0,1.0
5561312,Lucía,80%,2.0,2.0
5649948,Rafaela,Desconocido,2.0,2.0
5712665,Myriam,Desconocido,1.0,1.0
5719307,Maximo,97%,3.0,3.0
4897332,Juan,Desconocido,1.0,1.0
4903694,Henar,Desconocido,3.0,3.0
4967875,Jacqueline  - Apartamentos,91%,10.0,10.0
4905854,Josefa,94%,1.0,1.0
5751753,Masia,Desconocido,1.0,1.0
4651429,Rosana,100%,2.0,2.0
5785483,Rob & Lola Relaix,100%,4.0,4.0
1574604,Jorge & Angelina,100%,1.0,1.0
4975799,Kristian,100%,12.0,12.0
4977367,Maria Jose,97%,4.0,4.0
5795235,Elise,100%,5.0,5.0
5798033,Federico,100%,1.0,1.0
2864064,Oscar Vanessa Mica,100%,19.0,19.0
5801580,Cono,0%,1.0,1.0
153695733,M. Guadalupe,Desconocido,5.0,5.0
5814460,Antonia,100%,1.0,1.0
5084073,Marcelo,100%,3.0,3.0
4722486,Marga,100%,2.0,2.0
5824815,Soledad,50%,1.0,1.0
5831420,Miguel,40%,1.0,1.0
5211661,Isabel,100%,1.0,1.0
5735364,Oscar,Desconocido,1.0,1.0
5234573,Eva,100%,4.0,4.0
5876034,Jose,100%,2.0,2.0
6363695,Jenifer,100%,2.0,2.0
5896428,Helena,100%,1.0,1.0
5347216,Jacinta,100%,2.0,2.0
5360317,Leyla,Desconocido,1.0,1.0
5918751,Miguel Ángel,Desconocido,3.0,3.0
534128,Mad,90%,0.0,0.0
5386426,Rosario,100%,0.0,0.0
