id,host_id,rating,latitude,longitude
6369,13660,★4.88,40.45724,-3.67688
21853,83531,★4.58,40.40381,-3.7413
24805,346366726,★4.90,40.42183,-3.70529
361053,1729503,★4.58,40.40988,-3.67503
30320,130907,★4.63,40.41476,-3.70418
363476,1836617,★4.55,40.41676,-3.70682
30959,132883,★4.38,40.41259,-3.70105
371532,1871034,★4.88,40.41944,-3.70945
40718,34217435,★4.62,40.41969,-3.69736
374558,1884261,★4.40,40.42166,-3.69615
40916,130907,★4.65,40.42247,-3.70577
62423,303845,★4.59,40.41884,-3.69655
375472,1888816,★4.66,40.40334,-3.70254
70073,353738,★4.29,40.42252,-3.7025
376379,1892467,★4.48,40.41115,-3.69673
70310,353738,★4.33,40.42252,-3.7025
382511,1917171,★4.76,40.382123180881855,-3.654009849473269
74352,391014,★4.60,40.40864,-3.70884
396532,1981346,★4.86,40.41959,-3.70373
397778,1408525,★4.48,40.41506,-3.7029
82481,448981,★4.78,40.42342,-3.68123
398450,2150362,★4.69,40.42771,-3.71029
402588,1408525,★4.55,40.4149,-3.70331
404569,1408525,★4.42,40.42552,-3.70589
84719,259229,★4.68,40.40866,-3.70374
406341,2024487,★4.96,40.42978,-3.67817
414763,1408525,★4.62,40.41281,-3.70749
86042,364585,★4.81,40.40939,-3.69812
89954,487095,★4.81,40.41358,-3.71353
415967,2068619,★4.64,40.40827,-3.70049
93100,499977,★4.51,40.42378,-3.70248
427407,2106353,★4.73,40.41155,-3.70146
100411,527760,★4.67,40.50044,-3.67032
429306,2134007,★4.82,40.43028,-3.70732
102040,533936,★ New,40.43422,-3.64196
429604,2106353,★5.0,40.4135,-3.70145
103541,361930,★4.59,40.43815,-3.69764
449218,2230279,★4.85,40.42849,-3.70183
114854,361930,★4.59,40.4382,-3.69389
120293,605612,★4.78,40.41143,-3.70912
451174,2240898,★4.69,40.434551,-3.698387
123864,605612,★4.67,40.41001,-3.70704
456165,617086,★5.0,40.39032,-3.71382
459303,1408525,★4.59,40.42548,-3.7042
132428,650803,★4.76,40.41012,-3.69709
136058,666482,★4.94,40.35761,-3.69723
150123,723539,★4.80,40.40570915677768,-3.701093325317844
459362,1408525,★4.56,40.41592,-3.70177
163429,780107,★4.75,40.43765,-3.70408
167183,796746,★4.90,40.45575,-3.64912
177523,596469,★4.59,40.42855453491211,-3.7027840614318848
196197,852616,★4.71,40.41235,-3.70967
200828,75944,★ New,40.43201,-3.68358
462072,2296476,★4.94,40.40869,-3.71073
204570,1004721,★4.84,40.4152,-3.69668
205199,1008659,★4.93,40.42116,-3.70384
209373,1031664,★4.81,40.41126,-3.70347
468202,2322563,★4.60,40.42123,-3.70133
211444,1090760,★4.94,40.45959,-3.64699
469231,1408525,★4.56,40.41941,-3.70823
217674,1732442,★4.84,40.41538,-3.70741
470132,2332600,★4.75,40.41018,-3.70164
471198,1408525,★4.16,40.42359,-3.70537
219303,499977,★4.53,40.42377,-3.70241
221017,1146227,★4.46,40.4131,-3.70086
225489,1172225,★4.72,40.43595,-3.70706
471328,1408525,★4.56,40.41628,-3.70364
229664,1130651,★4.28,40.4078,-3.70085
256004,1732442,★4.58,40.41428,-3.70767
479718,2376402,★4.40,40.43202,-3.60353
482122,1408525,★4.45,40.43271,-3.70156
491070,2427722,★4.65,40.42885,-3.70479
499911,2467212,★4.91,40.41234,-3.70186
258713,1359945,★4.85,40.39627,-3.69926
502918,2480913,★4.84,40.41155,-3.69492
260656,1367452,★4.41,40.40743,-3.70114
506956,1932547,★4.91,40.44117,-3.64841
507614,2501740,★4.93,40.42323,-3.70434
260951,1351865,★4.69,40.47189,-3.62966
510973,2517520,★5.0,40.41412,-3.70057
261878,1373873,★4.91,40.42377853393555,-3.702780961990357
514917,83531,★4.79,40.40445,-3.7398
515008,2536524,★4.76,40.426699,-3.616304
263748,1351865,★4.76,40.47142,-3.62881
518208,2536524,★4.45,40.42654,-3.615916
268275,1406073,★4.75,40.412682,-3.702548
521329,2563986,★ New,40.45591,-3.68773
272279,1425071,★4.73,40.4093,-3.70884
522563,1652272,★4.68,40.41152,-3.70991
280733,596469,★4.76,40.42457,-3.70802
281224,1466005,★4.51,40.41685,-3.70882
524003,2576044,★4.91,40.41327,-3.70223
287660,1496188,★5.0,40.42683,-3.71108
526162,2249249,★ New,40.4057,-3.67605
289555,901218,★4.46,40.41758,-3.69631
526513,1134989,★4.71,40.41604,-3.70834
531677,2613319,★4.90,40.42286,-3.70236
536574,447969,★3.0,40.39317,-3.69358
294520,1522694,★4.56,40.42226,-3.69959
