id,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
6369,******,f,1,0,1,0
21853,******,f,2,0,2,0
24805,******,f,1,1,0,0
26825,******,f,1,0,1,0
30320,******,f,3,3,0,0
30959,******,f,1,1,0,0
336834,******,f,1,1,0,0
339144,******,f,2,2,0,0
40718,******,t,15,15,0,0
339171,VT-6570,t,1,1,0,0
40916,******,f,3,3,0,0
62423,******,t,3,1,2,0
341939,******,f,1,1,0,0
70073,******,f,3,3,0,0
70310,******,f,3,3,0,0
74352,******,f,1,1,0,0
342095,******,f,2,2,0,0
82481,******,f,1,1,0,0
84719,VT2922,f,1,1,0,0
86042,VT-3974,f,4,4,0,0
345249,VT-1896,f,2,2,0,0
347510,VT-1897,f,2,2,0,0
89954,VT 3441,f,1,1,0,0
354838,******,f,2,1,1,0
361053,VUT 8713,f,2,2,0,0
363476,******,f,1,0,1,0
93100,******,t,3,0,3,0
371532,******,t,1,1,0,0
100411,******,f,1,1,0,0
374558,******,t,1,1,0,0
375472,******,f,4,0,4,0
102040,******,f,1,0,1,0
376379,******,f,2,2,0,0
103541,******,t,3,3,0,0
396532,******,f,1,1,0,0
114854,******,t,3,3,0,0
120293,******,t,5,1,4,0
123864,******,f,5,1,4,0
132428,******,f,1,0,1,0
397778,VT- 553,t,73,73,0,0
136058,******,f,1,0,1,0
163429,******,f,1,1,0,0
398450,******,f,1,1,0,0
402588,00,t,73,73,0,0
167183,******,f,2,0,2,0
404569,00,t,73,73,0,0
406341,******,f,1,0,1,0
177523,******,f,31,31,0,0
414763,00,t,73,73,0,0
415967,******,f,2,2,0,0
420039,VT 7436,t,3,3,0,0
196197,******,f,2,2,0,0
198296,******,f,2,1,1,0
427407,******,f,2,2,0,0
199016,******,f,2,1,1,0
429306,VT-2555,f,1,1,0,0
200828,33866,f,1,1,0,0
429604,******,f,2,2,0,0
204570,******,t,1,1,0,0
449218,******,f,1,1,0,0
451174,******,f,1,0,1,0
205199,VT-121,f,4,4,0,0
456165,******,f,1,0,1,0
459303,VT- 556,t,73,73,0,0
459362,00,t,73,73,0,0
209373,******,t,1,0,1,0
211444,******,f,1,0,1,0
462072,VT-11049,f,1,1,0,0
217674,******,f,5,5,0,0
468202,******,t,1,1,0,0
469231,00,t,73,73,0,0
219303,******,t,3,0,3,0
470132,VT-297,f,1,1,0,0
471198,VT-549,t,73,73,0,0
471328,VT-532,t,73,73,0,0
221017,******,f,3,1,2,0
225489,******,f,3,0,3,0
479718,******,f,1,0,1,0
491070,VT-8441,f,1,1,0,0
229664,******,t,2,2,0,0
256004,VT-519,f,5,5,0,0
499911,VT-2176,f,1,1,0,0
258713,******,f,1,1,0,0
260656,******,f,1,1,0,0
502918,******,f,2,1,1,0
260951,******,f,2,2,0,0
506956,******,f,1,1,0,0
261878,******,f,1,1,0,0
507614,VT-8051,f,5,5,0,0
263748,******,t,2,2,0,0
510973,******,f,1,0,0,1
514917,******,f,2,0,2,0
268275,VT-1874,t,1,1,0,0
522563,VT-2141,f,1,1,0,0
272279,******,f,2,2,0,0
524003,******,f,1,0,1,0
280733,******,f,31,31,0,0
281224,******,f,1,1,0,0
526162,******,f,1,0,1,0
526513,VT-2803,t,1,1,0,0
287660,******,f,2,1,1,0
294520,******,t,4,0,4,0
294529,******,f,4,0,4,0
297017,******,t,6,6,0,0
531677,******,f,1,0,1,0
540937,VT-8720,t,1,1,0,0
310333,VT-160,t,1,1,0,0
336672,******,f,1,1,0,0
544736,******,f,2,0,2,0
692358,VT1962,f,6,6,0,0
548995,VT-3072,f,1,1,0,0
552183,******,f,1,0,1,0
558690,VT-2480,t,1,1,0,0
694867,VT-2392,f,6,6,0,0
695909,******,f,1,1,0,0
560941,******,f,31,31,0,0
696928,******,f,2,0,1,1
565152,VT-8490,t,1,1,0,0
704155,******,t,6,6,0,0
566241,******,f,2,2,0,0
708275,******,f,2,2,0,0
709208,******,t,1,1,0,0
568190,******,f,1,0,1,0
570158,******,f,1,0,1,0
710156,******,f,2,0,2,0
572048,******,f,1,0,1,0
716292,******,f,1,1,0,0
576487,******,f,1,1,0,0
578731,VT680,t,3,3,0,0
588382,******,f,1,1,0,0
588518,VT-12828,f,1,1,0,0
717313,******,f,1,1,0,0
590710,******,t,1,0,1,0
594298,******,f,5,5,0,0
721377,******,f,1,1,0,0
723088,******,f,1,1,0,0
598771,******,f,1,1,0,0
724700,VT-0012,f,2,2,0,0
599134,******,f,1,1,0,0
727588,******,f,3,1,2,0
604150,******,f,1,1,0,0
605339,******,f,3,0,3,0
728978,******,f,1,1,0,0
730347,VT-52,f,7,7,0,0
607548,******,f,1,0,1,0
608742,******,t,3,3,0,0
730502,VT-51,f,7,7,0,0
733365,******,f,1,0,1,0
610675,******,f,1,1,0,0
734053,******,f,1,0,1,0
616027,******,f,1,0,1,0
618576,******,f,3,3,0,0
745664,******,f,2,0,2,0
625566,******,f,1,1,0,0
745744,******,f,7,7,0,0
747873,VT-6783,f,3,3,0,0
631737,******,f,1,1,0,0
643471,******,f,2,1,1,0
748627,******,t,1,1,0,0
644656,******,f,2,0,2,0
655514,******,f,2,0,2,0
748854,******,f,4,0,4,0
661255,******,f,1,1,0,0
749957,******,f,4,2,2,0
663761,******,f,1,0,1,0
668753,******,f,2,1,1,0
750257,******,f,3,3,0,0
683208,VT-19,f,11,11,0,0
751527,VT-2053,f,1,1,0,0
751530,VT-12957,t,2,2,0,0
683969,******,f,1,1,0,0
752424,******,f,1,1,0,0
684564,******,f,1,1,0,0
752515,******,f,2,1,1,0
685152,******,f,3,3,0,0
688795,VT-716,f,5,5,0,0
752883,******,f,1,0,1,0
689099,******,f,1,0,1,0
754678,******,t,1,1,0,0
914057,******,f,1,0,1,0
755587,VT-12958,t,2,2,0,0
758670,******,f,5,1,4,0
923140,******,f,1,1,0,0
760482,4588,t,4,4,0,0
761098,******,t,1,1,0,0
925250,******,t,14,13,1,0
761159,VT-12959,t,2,2,0,0
925339,VT8575,f,5,5,0,0
763214,******,t,1,1,0,0
926653,VT 185,t,22,22,0,0
933326,******,t,1,1,0,0
938410,******,t,11,11,0,0
766160,******,t,1,1,0,0
948141,VT-272,f,2,2,0,0
948963,******,f,3,0,3,0
958020,******,f,1,1,0,0
768311,VT 5138,t,2,2,0,0
979312,******,f,1,0,1,0
981016,VT-1982,t,3,3,0,0
983019,******,f,1,0,1,0
772646,******,t,6,6,0,0
780397,******,f,1,1,0,0
983410,******,f,1,1,0,0
989063,******,f,1,1,0,0
780684,******,f,2,0,2,0
1003602,******,t,2,2,0,0
780743,******,f,2,0,2,0
1037715,******,f,1,1,0,0
783647,******,f,2,0,2,0
1044902,******,f,1,0,1,0
1053180,******,f,1,1,0,0
1053662,******,f,1,0,1,0
793618,03/175031.9/17,f,22,22,0,0
793622,******,f,1,1,0,0
1055724,******,f,1,0,1,0
1057560,******,f,1,1,0,0
797030,VT-1516,f,1,1,0,0
1059084,******,f,1,1,0,0
804681,******,f,2,0,2,0
1065075,******,f,1,0,1,0
814586,VT-4753,t,2,2,0,0
1065918,VT-2153,t,38,38,0,0
814647,******,f,1,0,1,0
1067941,******,f,2,1,1,0
1069174,******,f,1,1,0,0
814731,******,f,2,0,1,1
814870,******,f,3,0,3,0
1079119,******,f,1,1,0,0
815818,******,t,3,3,0,0
1082218,VT-20,f,7,7,0,0
817184,******,t,5,5,0,0
1082942,VT-297,f,1,1,0,0
1085217,******,f,1,0,1,0
817848,VT - 8035,t,1,1,0,0
1085898,******,f,5,5,0,0
819738,******,f,1,1,0,0
1086060,******,f,1,1,0,0
1086124,******,f,5,5,0,0
1087049,******,f,5,5,0,0
1092467,******,f,5,5,0,0
821860,******,f,2,0,1,1
833871,******,t,5,5,0,0
834562,343,f,1,1,0,0
1092967,******,f,1,1,0,0
834675,******,f,1,0,1,0
1106495,******,f,5,2,3,0
835333,******,t,5,5,0,0
1113817,******,f,36,34,2,0
838698,******,f,3,0,3,0
838712,******,f,3,0,3,0
840561,******,f,1,1,0,0
1121429,******,t,1,1,0,0
842078,******,f,1,1,0,0
1126038,******,f,2,0,2,0
1130775,******,f,2,2,0,0
1130788,******,f,2,2,0,0
844856,VTXXXX,t,1,1,0,0
1133140,******,f,1,1,0,0
846558,******,t,1,0,1,0
1145784,******,t,10,10,0,0
1146228,******,f,1,1,0,0
1152829,******,t,10,10,0,0
847273,******,f,5,5,0,0
1161437,******,f,10,0,10,0
848480,******,f,5,5,0,0
862462,VT-7899,t,2,2,0,0
1162707,******,f,2,1,1,0
1168731,VT-1571,f,2,2,0,0
862752,******,f,1,0,1,0
1174292,******,f,1,0,1,0
1176241,******,f,1,1,0,0
864488,******,f,1,1,0,0
1182242,VT-17,f,1,1,0,0
869674,******,f,3,1,2,0
871387,******,f,1,1,0,0
1184735,VT207,f,10,10,0,0
874029,******,f,1,0,1,0
1209383,******,f,2,1,1,0
1209661,******,f,1,1,0,0
874273,******,f,1,1,0,0
874842,******,t,1,1,0,0
1220946,VT- 8771,f,3,3,0,0
1227155,******,f,2,1,1,0
1230570,******,f,4,4,0,0
1248292,VT- 8770,f,3,3,0,0
886019,******,f,1,1,0,0
1251520,******,f,3,0,3,0
1254955,VT-4159,f,1,1,0,0
888289,VT1003,f,9,9,0,0
1256157,VT-4647,f,1,1,0,0
891946,******,f,1,1,0,0
1256570,******,f,2,0,2,0
1263062,******,f,3,0,3,0
1263329,******,f,3,0,3,0
892453,******,f,3,0,3,0
893195,VT12925,f,10,10,0,0
1266548,******,t,17,17,0,0
1267730,VT- 8772,f,3,3,0,0
1272747,******,t,17,17,0,0
896209,03/068669.9/17,t,4,4,0,0
1273055,******,f,1,1,0,0
903707,******,f,1,1,0,0
1274889,******,f,2,1,1,0
1275293,******,f,1,1,0,0
904769,VT-3533,f,17,17,0,0
904775,VT-3532,f,17,17,0,0
907386,Alq. corta estancia,f,1,1,0,0
1281843,******,f,2,2,0,0
1289823,VT-2824,f,1,1,0,0
1296584,******,f,1,1,0,0
912617,******,t,1,0,1,0
1297217,******,t,22,22,0,0
1298830,744,t,1,1,0,0
1302691,VT-2154,t,38,38,0,0
913536,******,f,3,0,3,0
1309325,******,f,1,0,1,0
1362476,VT-244,t,1,1,0,0
1380233,VT-1867,f,1,1,0,0
1316794,******,f,1,1,0,0
1395084,2371401VK4727C0009PB,f,2,0,2,0
1320674,******,f,2,2,0,0
1398273,******,f,1,0,1,0
1326972,******,f,1,1,0,0
1408400,******,f,1,1,0,0
1426027,VT-248,f,1,1,0,0
1330726,vtxxxx,t,3,3,0,0
1331106,******,f,2,0,2,0
1334684,******,f,1,1,0,0
1426530,******,f,1,1,0,0
1335588,VT-050,f,1,1,0,0
1427336,******,f,5,5,0,0
1430003,VT-0000,f,15,15,0,0
1431541,******,f,1,1,0,0
1336818,VT9822,f,1,1,0,0
1434789,VT-0000,f,15,15,0,0
1443639,******,f,1,1,0,0
1343630,******,f,2,1,1,0
1463482,******,f,1,1,0,0
1346747,******,f,1,1,0,0
1357593,******,t,2,2,0,0
1362092,******,f,2,2,0,0
1473278,******,f,1,1,0,0
1928731,******,f,1,1,0,0
1942059,----,f,2,2,0,0
1482007,******,f,1,1,0,0
1958786,******,f,1,1,0,0
1485339,******,f,1,1,0,0
1973442,******,f,1,0,1,0
1990801,******,t,22,22,0,0
1994074,VT-5580,t,38,38,0,0
1491263,******,f,2,0,2,0
1496117,******,f,5,2,3,0
2001012,******,f,3,3,0,0
1500875,******,f,17,17,0,0
1507595,******,f,1,1,0,0
2010660,******,f,1,1,0,0
2052303,******,f,2,2,0,0
1518919,VT-9925,f,1,1,0,0
2052361,******,f,2,2,0,0
1522608,******,f,2,2,0,0
2052383,******,t,1,1,0,0
1523675,******,f,2,2,0,0
2054398,******,f,1,1,0,0
1529540,******,f,1,0,1,0
2062465,******,f,2,2,0,0
1532354,vtxxxx,t,3,3,0,0
1547100,******,f,1,0,1,0
2064355,******,f,19,19,0,0
1569343,******,t,1,1,0,0
2065647,******,f,18,11,7,0
2068722,******,f,19,19,0,0
2068792,******,f,19,19,0,0
2068796,******,f,19,19,0,0
2069026,******,f,19,19,0,0
2070887,VT-3635,t,1,1,0,0
1579108,******,t,1,1,0,0
2079509,******,f,18,11,7,0
2084773,******,f,19,19,0,0
2087574,******,t,5,4,1,0
2091802,******,f,3,1,2,0
1586115,******,f,2,0,2,0
2096590,******,f,18,11,7,0
2100370,******,f,18,11,7,0
2101315,******,f,19,19,0,0
1593044,******,f,2,1,1,0
2117115,VT-10012,f,8,7,1,0
1595592,******,f,1,1,0,0
2129245,******,f,1,0,1,0
2143824,******,t,10,0,0,10
2143882,******,t,10,0,0,10
2143906,******,t,10,0,0,10
2143943,******,t,10,0,0,10
2143961,******,t,10,0,0,10
1596257,VT-4861,f,1,1,0,0
2144000,******,t,10,0,0,10
2144017,******,t,10,0,0,10
1600919,******,f,1,1,0,0
1607436,******,f,1,0,1,0
2179527,******,t,1,1,0,0
1608296,VT-11207,f,1,1,0,0
2186049,******,f,1,1,0,0
2188662,VT-1439,t,6,6,0,0
1609815,******,f,1,0,1,0
2192321,******,f,1,1,0,0
2207832,******,t,1,1,0,0
2207960,******,f,2,0,2,0
1610861,******,f,1,1,0,0
2224238,******,f,3,2,1,0
1621371,VT-0000,f,15,15,0,0
1622564,VT-0000,f,15,15,0,0
1623202,VT-3337,f,5,5,0,0
1626586,******,f,8,8,0,0
2247751,******,f,3,3,0,0
1628485,******,f,46,2,44,0
1630249,******,f,1,1,0,0
1636170,******,f,8,8,0,0
1639471,******,f,46,2,44,0
1642412,******,f,1,1,0,0
2254525,******,f,4,0,4,0
2294171,******,t,3,3,0,0
1644183,******,f,1,0,1,0
2299045,VT-6289,f,2,2,0,0
2302853,******,f,2,2,0,0
1644403,******,t,6,6,0,0
1661283,******,f,2,1,1,0
2310368,******,f,1,1,0,0
2313370,******,f,5,0,5,0
1665067,******,f,2,0,2,0
2319136,VT-6243,f,3,3,0,0
1666495,******,f,1,0,1,0
2325516,******,f,1,1,0,0
1680271,VT 7132,t,22,22,0,0
2342966,******,f,1,0,1,0
1683393,******,f,2,2,0,0
2343687,******,f,1,1,0,0
2346257,VT-2913,f,1,1,0,0
1691073,******,f,2,2,0,0
2355344,******,t,25,25,0,0
1695083,VT-2153,t,38,38,0,0
1698916,******,f,8,8,0,0
1710251,VT-2796,f,1,1,0,0
2358924,******,f,1,1,0,0
2362731,******,f,5,1,4,0
2364463,******,t,1,1,0,0
1716687,******,f,46,2,44,0
1737408,******,f,5,5,0,0
1737767,VT-4879,f,1,1,0,0
2377816,******,f,1,1,0,0
2387880,LICENCIA Nº VT6968,t,1,1,0,0
1740906,******,t,1,1,0,0
2388144,******,f,1,0,1,0
1742289,******,t,2,2,0,0
2399601,******,t,1,1,0,0
1749005,******,f,4,2,2,0
2408887,******,f,1,0,1,0
2416770,******,t,22,22,0,0
1750838,******,f,1,1,0,0
2452815,******,t,14,13,1,0
2471370,VT-2153,t,38,38,0,0
1755242,******,t,14,13,1,0
2472459,******,f,1,1,0,0
1757983,******,f,2,2,0,0
2482267,******,t,4,4,0,0
1762237,VT-1995,t,3,3,0,0
1763683,******,t,5,5,0,0
1765529,******,f,1,1,0,0
2487986,******,f,1,0,1,0
1766697,******,t,247,247,0,0
2488934,VT-77,f,1,1,0,0
1774049,VT-12704,t,1,1,0,0
2500666,******,f,1,1,0,0
2503991,******,t,1,1,0,0
1775014,******,f,1,1,0,0
2520674,******,f,2,2,0,0
2520679,******,f,2,2,0,0
1779465,******,f,1,1,0,0
1785371,******,f,2,0,2,0
1788102,******,f,46,2,44,0
1790920,******,f,1,1,0,0
2530433,******,f,7,7,0,0
2549655,******,f,2,0,2,0
2551440,******,t,5,1,4,0
1797544,******,f,31,31,0,0
1829496,VT-7780,f,1,1,0,0
2558321,VT-10156,f,1,1,0,0
2587493,8313,f,4,4,0,0
1846297,******,f,1,1,0,0
1854759,******,f,1,0,1,0
2588548,VUT-,t,1,1,0,0
2589141,******,f,5,1,4,0
1858255,******,f,2,2,0,0
2604097,******,f,1,1,0,0
1859046,******,f,4,1,3,0
2604787,******,t,1,1,0,0
2622839,VT,f,6,3,3,0
2630840,VT-184,t,22,22,0,0
1863038,******,t,38,38,0,0
2632012,******,f,2,0,2,0
2650925,******,f,4,4,0,0
2652829,******,t,4,4,0,0
1864170,VT-1990,t,3,3,0,0
1865189,******,f,3,0,3,0
1870392,******,f,46,2,44,0
1901306,******,f,1,1,0,0
2658189,******,f,1,0,1,0
2673231,******,f,1,1,0,0
1910871,******,f,1,1,0,0
2673648,0870601VK4707B0004AZ,t,2,2,0,0
1921558,******,f,1,0,1,0
2686592,******,f,1,0,1,0
2698131,******,f,2,2,0,0
2706194,VT-6288,f,2,2,0,0
2707743,VT-3606,t,38,38,0,0
1926546,******,t,1,1,0,0
1927108,******,f,1,0,1,0
2711470,00,t,73,73,0,0
2731786,******,t,5,1,4,0
3392806,******,f,1,1,0,0
2736479,******,f,1,1,0,0
3397465,******,f,2,2,0,0
3419248,******,f,1,1,0,0
2744523,******,f,2,2,0,0
3423709,******,f,1,1,0,0
2761815,VT-9846,f,2,2,0,0
3425435,******,f,1,0,1,0
3428310,VT-3249,f,1,1,0,0
2774760,******,f,1,1,0,0
3428746,******,f,1,1,0,0
2820486,******,f,1,0,1,0
3430791,******,f,1,1,0,0
2846776,******,f,1,1,0,0
3439591,******,f,1,1,0,0
2847041,******,f,1,0,1,0
3446903,******,f,2,0,2,0
2862015,******,t,18,1,17,0
3456354,******,f,1,0,1,0
2895896,******,f,1,1,0,0
2900380,VT11912,f,5,5,0,0
3457207,******,t,4,4,0,0
2906165,******,t,1,1,0,0
3477490,******,f,4,4,0,0
2916917,******,f,2,2,0,0
2917180,******,t,2,2,0,0
2926676,******,f,6,3,3,0
2943509,******,f,18,11,7,0
3479383,******,t,3,0,3,0
2943575,******,f,18,11,7,0
2954743,******,f,1,1,0,0
3501674,******,t,1,0,1,0
2963086,VT-829,f,2,2,0,0
2964048,VT-829,f,2,2,0,0
3513150,******,f,2,0,2,0
3514869,******,f,2,0,2,0
2965741,******,f,3,0,3,0
3515284,******,f,37,32,5,0
2966970,******,f,1,0,1,0
3515468,******,t,3,0,3,0
3004372,******,f,1,1,0,0
3011110,******,t,10,0,0,10
3516746,******,f,2,2,0,0
3012570,******,f,18,11,7,0
3012762,******,f,18,11,7,0
3018510,******,f,1,1,0,0
3517921,******,f,2,2,0,0
3028371,******,f,1,0,1,0
3531042,******,f,1,0,1,0
3040893,******,f,1,0,1,0
3042518,VT-12960,t,2,2,0,0
3549046,******,f,1,0,1,0
3045724,La propiedad está registrada el el Registro de Empresas Turísticas de Madrid con referencia VT-2722.,t,3,3,0,0
3046856,La propiedad está registrada el el Registro de Empresas Turísticas de Madrid con referencia VT-2722.,t,3,3,0,0
3552414,03/068692.9/17,t,4,4,0,0
3046879,VT-2722,t,3,3,0,0
3047780,******,f,18,11,7,0
3567597,******,t,18,17,1,0
3048220,******,f,1,1,0,0
3580425,******,f,2,2,0,0
3056943,******,f,1,1,0,0
3584830,******,t,4,4,0,0
3588117,VT-4040,f,5,1,4,0
3058834,******,f,4,1,3,0
3068254,******,f,4,1,3,0
3589141,VT2607,f,1,1,0,0
3082182,******,f,10,10,0,0
3590226,******,t,3,3,0,0
3591352,******,f,1,0,1,0
3093756,******,f,1,1,0,0
3598873,******,f,1,1,0,0
3097328,******,f,1,1,0,0
3599402,******,f,1,0,1,0
3107033,******,f,2,2,0,0
3604139,******,f,1,1,0,0
3113226,******,f,1,1,0,0
3143400,******,f,3,0,3,0
3606978,******,f,1,0,1,0
3143872,******,f,1,0,1,0
3610905,******,t,1,1,0,0
3146468,******,t,3,0,3,0
3150635,******,f,1,1,0,0
3613370,******,f,2,1,1,0
3166047,******,t,3,3,0,0
3173331,******,t,18,17,1,0
3624775,******,f,2,0,2,0
3635594,******,t,10,10,0,0
3641547,******,f,1,1,0,0
3175720,******,f,1,1,0,0
3653355,******,t,6,6,0,0
3184859,******,t,2,2,0,0
3187973,VT-10277,t,38,38,0,0
3189209,00,t,73,73,0,0
3654455,VT-8491,f,2,2,0,0
3196382,******,f,2,0,2,0
3677219,******,f,1,0,1,0
3203777,******,f,1,1,0,0
3680191,******,f,2,0,2,0
3680650,VT-7495,f,2,2,0,0
3211626,******,f,1,1,0,0
3681753,******,t,8,8,0,0
3222534,******,f,1,0,1,0
3222550,******,f,2,2,0,0
3224985,******,f,2,2,0,0
3681786,******,t,8,8,0,0
3254586,******,f,2,0,2,0
3686364,******,f,2,0,2,0
3255468,VT-1578,f,1,1,0,0
3691867,******,f,2,2,0,0
3264794,VT-3971,f,4,4,0,0
3277613,VT-5582,t,38,38,0,0
3285554,******,f,2,2,0,0
3285747,VT-10677,t,38,38,0,0
3297333,******,f,1,0,1,0
3300064,Vivienda registrada VT- 659,f,1,1,0,0
3306584,VT-6563,t,2,2,0,0
3712285,******,f,1,1,0,0
3717049,******,f,46,2,44,0
3722238,VT-2116,f,1,1,0,0
3727205,VT-3452,t,1,1,0,0
3727225,******,f,2,2,0,0
3731234,******,f,3,0,3,0
3738662,******,f,8,7,1,0
3312444,******,f,1,0,1,0
3742728,******,f,6,6,0,0
3318664,VT-4794,t,2,2,0,0
3756051,******,f,1,0,1,0
3322399,******,f,5,5,0,0
3323284,******,f,3,1,2,0
3759217,03/068662.9/17,t,4,4,0,0
3762974,******,f,1,1,0,0
3338631,******,f,4,0,4,0
3763652,VT11354,f,5,5,0,0
3341990,99/043297.9/17,f,1,1,0,0
3351904,******,t,3,3,0,0
3764496,******,f,4,4,0,0
3772268,******,f,1,1,0,0
3356511,******,f,1,0,1,0
3360988,******,f,1,0,1,0
3368882,******,f,1,0,1,0
3776849,******,f,1,0,1,0
3368885,******,f,1,0,1,0
3778195,******,t,10,0,0,10
3780348,******,f,1,0,1,0
3374974,******,f,2,0,2,0
3782713,******,f,1,0,1,0
3375035,******,f,2,0,2,0
3798844,******,t,1,0,1,0
3816076,******,f,1,0,1,0
3382630,******,t,1,0,1,0
3819043,******,f,1,1,0,0
3385580,******,f,1,1,0,0
3389625,06/014204.9/17,f,1,1,0,0
3819941,******,f,12,12,0,0
4001706,******,f,1,1,0,0
3824546,******,f,4,4,0,0
3825317,******,f,1,1,0,0
4009274,******,f,1,1,0,0
4036586,******,t,7,2,5,0
4038339,******,f,1,0,1,0
3826572,******,t,2,2,0,0
4055217,******,f,1,1,0,0
4067702,******,t,5,5,0,0
3832234,******,f,1,0,1,0
4075286,******,t,1,0,1,0
4082994,******,f,4,0,4,0
4083002,******,f,4,0,4,0
3849729,VT-119,f,4,4,0,0
3850756,VT-723,f,5,5,0,0
3853827,******,t,22,22,0,0
3855338,******,f,1,0,1,0
4083330,******,f,1,0,1,0
3857504,VT-10611,t,38,38,0,0
3858506,******,f,7,2,5,0
3885520,******,t,2,2,0,0
4109879,******,f,9,5,4,0
4110229,******,t,2,2,0,0
3897893,******,f,1,1,0,0
4118892,******,f,9,5,4,0
3901968,******,f,2,0,2,0
4131994,******,f,2,0,2,0
4132363,******,f,2,2,0,0
3908928,******,f,28,28,0,0
4138973,******,f,1,0,1,0
4154794,******,t,1,1,0,0
3909843,******,f,1,0,1,0
4155781,******,f,1,1,0,0
3920883,VT378,f,1,1,0,0
4158564,******,f,1,0,1,0
3944509,******,f,1,0,1,0
4160649,******,f,1,1,0,0
3973113,49/770582.9.19,f,1,1,0,0
4161286,******,f,1,0,1,0
3975171,******,t,13,13,0,0
4162483,******,f,2,0,2,0
4176704,AM-336,f,20,20,0,0
4176994,AM-336,f,20,20,0,0
3985609,VT-3168,t,2,2,0,0
4182457,******,f,1,1,0,0
4189593,VT-6423,f,28,28,0,0
4675684,******,f,1,1,0,0
4679716,******,f,1,1,0,0
4189810,******,f,2,0,2,0
4683787,******,f,1,1,0,0
4193005,******,f,1,1,0,0
4684786,******,f,1,0,1,0
4201199,******,f,1,1,0,0
4202733,VT-3973,f,4,4,0,0
4216775,******,f,3,1,2,0
4230273,******,f,3,1,2,0
4687759,******,f,4,4,0,0
4693155,VT-1036,t,11,11,0,0
4703720,******,f,1,1,0,0
4230554,VT-,f,9,9,0,0
4237155,VT-6577,t,11,11,0,0
4708827,VT-342,f,1,1,0,0
4241259,******,f,1,1,0,0
4711892,******,f,1,0,1,0
4263173,******,f,1,0,1,0
4266974,******,f,3,3,0,0
4714001,******,f,1,1,0,0
4295344,******,t,25,25,0,0
4302977,VT-2792,f,12,12,0,0
4308225,******,t,247,247,0,0
4718091,******,f,1,1,0,0
4309709,******,f,4,1,3,0
4718699,VT-3787,t,3,3,0,0
4316495,******,f,3,1,2,0
4327320,******,t,3,0,3,0
4722533,******,f,1,0,1,0
4337324,******,f,3,0,3,0
4723540,******,f,1,0,1,0
4340187,******,f,1,1,0,0
4728228,******,f,1,1,0,0
4728260,******,f,2,2,0,0
4751175,******,f,1,1,0,0
4342918,******,f,1,0,1,0
4754971,******,f,1,0,1,0
4344855,******,f,1,1,0,0
4755562,******,f,1,1,0,0
4367064,******,f,1,0,1,0
4767419,******,f,6,1,5,0
4376685,******,f,1,1,0,0
4772019,VT-7156,t,247,247,0,0
4780178,******,f,1,0,1,0
4383859,******,f,1,1,0,0
4789460,VT 410,f,7,1,6,0
4394265,******,f,1,1,0,0
4792425,******,f,1,1,0,0
4394370,******,t,8,1,7,0
4798571,******,f,31,31,0,0
4799714,VT-3972,f,4,4,0,0
4815680,******,f,2,2,0,0
4394882,******,t,8,1,7,0
4403346,VT80,f,7,7,0,0
4818802,******,f,2,0,2,0
4819958,VT-2330,f,22,22,0,0
4854921,VT-677,t,1,1,0,0
4407551,******,t,8,1,7,0
4857495,VT-252,t,6,6,0,0
4411068,******,f,1,1,0,0
4418512,******,f,2,1,1,0
4421901,******,t,25,25,0,0
4879291,******,f,1,1,0,0
4447697,******,f,1,0,1,0
4473361,******,f,2,2,0,0
4890957,******,f,1,0,1,0
4474971,******,f,3,3,0,0
4891262,VT-625,t,22,22,0,0
4483457,******,f,1,1,0,0
4491361,******,f,1,1,0,0
4905237,******,f,3,0,3,0
4906204,******,f,2,1,1,0
4491501,******,f,1,1,0,0
4912783,******,f,1,1,0,0
4496392,******,f,17,17,0,0
4511612,******,f,1,1,0,0
4936409,******,f,1,1,0,0
4523822,******,f,2,2,0,0
4945181,******,t,1,1,0,0
4544440,******,t,1,1,0,0
4947004,******,t,4,4,0,0
4949149,******,f,1,1,0,0
4575181,00004,t,8,8,0,0
4577504,******,f,13,13,0,0
4952788,******,f,1,0,1,0
4963162,******,f,4,1,3,0
4967324,******,t,2,2,0,0
4592672,******,f,4,4,0,0
4595967,AM-336,f,20,20,0,0
4596183,AM-336,f,20,20,0,0
4596225,AM-336,f,20,20,0,0
