id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
6369,0.99,5,1125,3,5,1125,1125,5.0,1125.0,t,8,11,11,22
21853,0.99,4,40,4,4,40,40,4.0,40.0,t,0,0,0,135
24805,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,18,48,78,168
26825,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,7,7,20,295
30320,0.99,5,180,5,5,180,180,5.0,180.0,t,0,0,0,0
30959,0.99,3,730,3,3,730,730,3.0,730.0,f,0,0,0,0
336834,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,13,43,47,274
339144,0.99,28,1125,20,28,1125,1125,27.6,1125.0,t,2,2,2,137
40718,0.99,2,500,2,2,1125,1125,2.0,1125.0,t,24,52,82,351
339171,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,6,11,22,147
40916,0.99,5,180,5,5,180,180,5.0,180.0,t,0,0,0,0
62423,0.99,1,30,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
341939,0.99,15,100,15,15,100,100,15.0,100.0,t,1,15,16,31
70073,0.99,28,360,28,28,1125,1125,28.0,1125.0,t,4,34,64,339
70310,0.99,28,360,28,28,1125,1125,28.0,1125.0,t,8,8,8,223
74352,0.99,8,1125,8,8,1125,1125,8.0,1125.0,t,0,0,0,138
342095,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,23,53,59,326
82481,0.99,3,365,3,3,365,365,3.0,365.0,f,0,0,0,0
84719,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,20,40,40,40
86042,0.99,3,365,1,3,365,365,1.3,365.0,t,25,55,85,175
345249,0.99,32,333,31,31,333,333,31.0,333.0,t,3,33,63,338
347510,0.99,32,333,1,39,333,333,32.5,333.0,t,0,0,0,135
89954,0.99,3,1125,1,3,1125,1125,3.0,1125.0,t,7,7,29,174
354838,0.99,20,300,20,20,300,300,20.0,300.0,f,0,0,0,0
361053,0.99,2,365,2,2,365,365,2.0,365.0,t,0,0,0,0
363476,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,3,10,17,190
93100,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
371532,0.99,2,365,2,2,365,365,2.0,365.0,t,6,12,21,54
100411,0.99,2,30,2,2,30,30,2.0,30.0,f,0,0,0,0
374558,0.99,1,180,1,3,1125,1125,2.5,1125.0,t,14,43,73,73
375472,0.99,6,365,4,6,365,365,6.0,365.0,t,5,32,49,49
102040,0.99,3,90,3,3,90,90,3.0,90.0,t,0,0,0,0
376379,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,0,0,24,214
103541,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
396532,0.99,3,18,3,3,18,18,3.0,18.0,t,11,41,71,346
114854,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,0,0,0,217
120293,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,22,52,82,357
123864,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
132428,0.99,3,730,3,3,730,730,3.0,730.0,t,13,43,73,348
397778,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,4,21,51,286
136058,0.99,1,1125,1,1,1125,1125,1.0,1125.0,f,0,0,0,0
163429,0.99,90,365,90,90,365,365,90.0,365.0,t,27,57,87,87
398450,0.99,3,90,2,6,90,90,3.1,90.0,t,4,5,16,173
402588,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,3,8,24,260
167183,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,16,46,76,351
404569,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,6,28,58,325
406341,0.99,4,180,1,4,180,180,4.0,180.0,t,1,1,1,1
177523,0.99,1,365,3,21,19,999,13.4,33.0,t,29,59,89,364
414763,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,7,15,22,231
415967,0.99,7,30,7,7,30,30,7.0,30.0,t,10,36,62,138
420039,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,5,19,34,249
196197,0.99,3,1125,2,3,1125,1125,3.0,1125.0,t,12,36,53,261
198296,0.99,3,6,3,3,6,6,3.0,6.0,t,18,18,18,23
427407,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,14,36,66,341
199016,0.99,3,365,3,3,365,365,3.0,365.0,t,24,54,84,359
429306,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,0,10,38,119
200828,0.99,14,100,14,14,100,100,14.0,100.0,f,0,0,0,0
429604,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,18,48,78,353
204570,0.99,6,365,6,6,1125,1125,6.0,1125.0,t,18,48,78,78
449218,0.99,4,1125,2,4,1125,1125,3.9,1125.0,t,0,8,20,158
451174,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
205199,0.99,7,365,10,30,365,365,29.0,365.0,t,4,34,64,339
456165,0.99,2,1125,1,2,1125,1125,2.0,1125.0,t,0,0,0,0
459303,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,8,12,35,290
459362,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,2,8,18,230
209373,0.99,1,60,1,1,1125,1125,1.0,1125.0,t,0,0,0,104
211444,0.99,2,365,2,2,365,365,2.0,365.0,t,10,36,66,341
462072,0.99,3,1124,2,3,100,1125,3.0,1115.6,t,1,1,1,1
217674,0.99,2,300,2,4,300,300,2.9,300.0,t,0,0,0,0
468202,0.99,30,1125,8,30,1125,1125,28.7,1125.0,t,3,3,3,172
469231,0.99,3,365,2,7,30,1125,3.1,1109.9,t,9,26,56,327
219303,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,10,27,39,300
470132,0.99,4,330,4,4,330,330,4.0,330.0,t,4,16,18,140
471198,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,12,26,49,308
471328,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,4,16,35,272
221017,0.99,3,52,1,15,52,52,8.7,52.0,t,16,29,45,76
225489,0.99,25,365,25,25,365,365,25.0,365.0,f,0,0,0,0
479718,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,29,59,89,89
491070,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,136
229664,0.99,10,1125,3,10,1125,1125,10.0,1125.0,t,15,45,75,350
256004,0.99,3,300,2,4,300,300,2.9,300.0,t,21,51,81,356
499911,0.99,4,1125,2,4,1125,1125,4.0,1125.0,t,0,0,0,0
258713,0.99,4,30,4,4,30,30,4.0,30.0,t,0,0,0,0
260656,0.99,30,365,14,14,365,365,14.0,365.0,t,21,51,81,356
502918,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,4,4,4,114
260951,0.99,2,390,2,2,1125,1125,2.0,1125.0,t,0,0,0,52
506956,0.99,1,20,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
261878,0.99,1,1125,1,2,1125,1125,1.3,1125.0,t,0,0,0,0
507614,0.99,15,1124,1,15,200,1124,11.6,1119.8,t,1,1,1,209
263748,0.99,2,120,2,2,1125,1125,2.0,1125.0,t,14,44,68,156
510973,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,30,60,90,365
514917,0.99,4,40,4,4,40,40,4.0,40.0,t,0,0,0,227
268275,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,11,29,39,227
522563,0.99,4,60,2,4,60,60,4.0,60.0,t,20,50,80,80
272279,0.99,5,45,1,5,365,365,4.9,365.0,t,10,27,57,73
524003,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,5,24,42,301
280733,0.99,1,365,3,11,4,999,9.9,178.5,t,13,34,60,335
281224,0.99,2,1000,2,3,1125,1125,2.6,1125.0,t,22,52,82,357
526162,0.99,2,1125,2,2,1125,1125,2.0,1125.0,f,0,0,0,0
526513,0.99,2,330,1,3,1125,1125,2.1,1125.0,t,0,0,0,0
287660,0.99,1,365,1,1,365,365,1.0,365.0,f,0,0,0,0
294520,0.99,3,90,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
294529,0.99,3,90,3,3,90,90,3.0,90.0,t,25,55,85,360
297017,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
531677,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,15
540937,0.99,2,90,1,3,1125,1125,2.4,1125.0,t,0,0,0,0
