id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6369,106,4,0,4.88,4.91,4.84,4.78,4.86,4.84,4.86,0.63
21853,33,0,0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,0.3
24805,33,8,0,4.91,4.91,4.85,5.0,4.97,5.0,4.76,0.3
26825,196,22,0,4.72,4.82,4.92,4.79,4.72,4.73,4.77,1.18
30320,172,0,0,4.63,4.71,4.88,4.82,4.78,4.9,4.69,1.05
30959,8,0,0,4.38,4.14,4.38,4.63,4.63,4.88,4.25,0.08
336834,52,3,0,4.63,4.76,4.26,4.86,4.78,4.96,4.61,0.36
339144,142,8,0,4.89,4.9,4.97,4.99,4.98,4.81,4.87,1.0
40718,135,8,1,4.61,4.71,4.66,4.59,4.84,4.94,4.63,0.83
339171,192,16,1,4.88,4.88,4.95,4.89,4.93,4.95,4.87,1.35
40916,49,0,0,4.65,4.69,4.9,4.85,4.79,4.88,4.55,0.31
62423,174,24,3,4.6,4.75,4.38,4.76,4.83,4.97,4.53,2.55
341939,181,7,0,4.68,4.71,4.64,4.78,4.79,4.7,4.67,1.26
70073,32,4,0,4.29,4.55,4.5,4.48,4.48,4.68,4.19,0.22
70310,29,3,1,4.36,4.62,4.52,4.82,4.69,4.86,4.11,0.19
74352,5,0,0,4.6,4.6,4.4,5.0,5.0,4.8,4.6,0.06
342095,38,2,0,4.78,4.89,4.92,4.95,4.89,4.76,4.81,0.27
82481,105,0,0,4.78,4.69,4.96,4.97,4.96,4.95,4.69,0.68
84719,184,0,0,4.68,4.78,4.87,4.82,4.85,4.44,4.69,1.2
86042,196,17,1,4.81,4.81,4.65,4.87,4.91,4.91,4.68,1.29
345249,30,2,0,4.41,4.52,4.48,4.72,4.72,4.28,4.28,0.23
347510,42,0,0,4.41,4.5,4.66,4.5,4.5,4.4,4.4,0.3
89954,245,24,0,4.79,4.84,4.75,4.85,4.82,4.95,4.73,1.62
354838,38,0,0,4.73,4.79,4.24,4.89,4.92,4.89,4.58,0.27
361053,216,37,5,4.59,4.68,4.68,4.89,4.86,4.79,4.56,1.52
363476,548,57,2,4.55,4.54,4.57,4.7,4.78,4.97,4.52,3.85
93100,830,93,4,4.52,4.55,4.56,4.72,4.71,4.84,4.6,5.4
371532,136,28,4,4.89,4.93,4.76,4.86,4.95,4.99,4.85,0.96
100411,3,0,0,4.67,5.0,4.67,5.0,4.33,4.33,4.67,0.03
374558,134,38,2,4.42,4.37,4.47,4.67,4.75,4.91,4.4,1.04
375472,148,0,0,4.66,4.65,4.76,4.82,4.71,4.71,4.72,1.08
102040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376379,33,6,0,4.48,4.64,4.45,4.88,4.85,5.0,4.36,0.27
103541,278,39,2,4.6,4.72,4.7,4.69,4.81,4.78,4.58,1.83
396532,121,2,0,4.86,4.87,4.87,4.97,4.96,4.86,4.84,0.86
114854,148,12,0,4.59,4.59,4.58,4.85,4.83,4.81,4.53,1.0
120293,329,64,5,4.79,4.85,4.83,4.91,4.9,4.96,4.74,2.19
123864,688,68,5,4.67,4.76,4.79,4.79,4.87,4.88,4.66,4.54
132428,159,15,0,4.76,4.82,4.81,4.86,4.91,4.97,4.82,2.0
397778,71,18,2,4.48,4.51,4.44,4.65,4.52,4.91,4.42,0.55
136058,97,0,0,4.94,4.96,4.95,4.98,4.98,4.74,4.93,0.64
163429,8,0,0,4.75,5.0,4.57,5.0,4.86,5.0,4.71,0.05
398450,305,22,3,4.69,4.74,4.65,4.88,4.92,4.9,4.68,2.15
402588,212,30,2,4.55,4.67,4.67,4.74,4.62,4.9,4.58,1.62
167183,41,3,0,4.9,4.85,4.93,4.9,4.85,4.83,4.85,0.29
404569,83,14,1,4.43,4.4,4.49,4.64,4.58,4.81,4.2,0.77
406341,187,31,1,4.96,4.97,4.87,4.98,4.97,4.94,4.9,1.32
177523,35,10,0,4.62,4.66,4.63,4.83,4.74,4.91,4.49,0.24
414763,90,28,5,4.57,4.61,4.45,4.74,4.64,4.94,4.39,0.66
415967,151,0,0,4.64,4.7,4.79,4.89,4.89,4.25,4.59,1.06
420039,699,4,1,4.22,4.41,4.41,4.75,4.71,4.79,4.29,4.98
196197,410,55,2,4.72,4.74,4.79,4.81,4.84,4.88,4.63,2.74
198296,76,0,0,4.76,4.75,4.62,4.89,4.93,4.97,4.68,0.55
427407,14,1,0,4.75,4.58,4.92,4.92,4.92,4.92,4.67,0.1
199016,28,2,2,4.54,4.74,4.74,4.78,4.68,4.96,4.61,0.27
429306,224,15,2,4.82,4.84,4.91,4.87,4.9,4.74,4.74,1.6
200828,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429604,8,3,0,5.0,5.0,5.0,5.0,5.0,5.0,4.88,0.06
204570,103,2,0,4.84,4.84,4.82,4.94,4.91,4.97,4.83,0.69
449218,408,64,5,4.86,4.86,4.96,4.92,4.93,4.94,4.84,2.9
451174,41,20,0,4.62,4.6,4.6,4.79,4.79,4.9,4.76,0.6
205199,330,25,0,4.93,4.97,4.97,4.95,4.94,4.93,4.91,2.21
456165,14,7,1,5.0,5.0,5.0,5.0,5.0,4.93,4.93,0.18
459303,91,30,2,4.56,4.46,4.6,4.66,4.63,4.93,4.51,0.82
459362,102,23,1,4.56,4.54,4.61,4.64,4.68,4.91,4.42,0.9
